Name,AppID,Category,Metacritic,Year
Age of Empires II: Definitive Edition,813780.0,Strategy,84,2019.0
Age of Empires III: Definitive Edition,933110.0,"Free To Play, Strategy",75,2020.0
Among Us,945360.0,Casual,85,Unknown
Black Myth: Wukong,2358720.0,"Aksiyon, Macera, RYO",N/A,Unknown
Chained Together,2567870.0,"Adventure, Casual, Indie, Simulation",N/A,2024.0
Counter-Strike 2,730.0,"Action, Free To Play",N/A,Unknown
Cyberpunk 2077,1091500.0,RPG,86,2020.0
Dishonored 2,403640.0,Action,86,2016.0
Evil West,1065310.0,"Action, Adventure, RPG",N/A,2022.0
Ghostwire: Tokyo,1475810.0,Action,77,2022.0
Granblue Fantasy: Relink,881020.0,"Action, Adventure, RPG",N/A,2024.0
Hades II,1145350.0,"Action, Indie, RPG, Early Access",N/A,2024.0
Half-Life 2,220.0,Action,96,2004.0
Half-Life 2: Deathmatch,320.0,Action,N/A,Unknown
Half-Life Deathmatch: Source,360.0,Action,N/A,2006.0
Half-Life: Alyx,546560.0,"Action, Adventure",93,2020.0
Halo Infinite,1240440.0,"Action, Free To Play",N/A,2021.0
High On Life,1583230.0,"Action, Adventure",N/A,Unknown
Hollow Knight,367520.0,"Action, Adventure, Indie",87,2017.0
Human Fall Flat,477160.0,"Adventure, Casual, Indie, Simulation",70,Unknown
Just Cause 3,225540.0,"Action, Adventure",74,2015.0
Lies of P,1627720.0,"Action, Adventure, RPG",N/A,2023.0
Metro Exodus,412020.0,Action,85,2020.0
Metro Exodus Enhanced Edition,1449560.0,Action,85,2020.0
Palworld,1623730.0,"Action, Adventure, Indie, RPG, Early Access",N/A,2024.0
Portal,400.0,Action,90,2007.0
Ready or Not,1144200.0,"Action, Adventure, Indie",N/A,Unknown
Remnant II,1282100.0,"Action, Adventure, RPG",N/A,2023.0
Shadow of the Tomb Raider,750920.0,"Action, Adventure",77,2018.0
Soulmask,2646460.0,"Adventure, Indie, Massively Multiplayer, RPG, Simulation, Early Access",N/A,2024.0
The Elder Scrolls V: Skyrim Special Edition,489830.0,RPG,74,2016.0
The Elder Scrolls V: Skyrim VR,611670.0,RPG,81,2018.0
The Witcher 2: Assassins of Kings Enhanced Edition,20920.0,RPG,88,2012.0
The Witcher 3: Wild Hunt,292030.0,RPG,93,2015.0
The Witcher: Enhanced Edition,20900.0,"Action, RPG",86,2008.0
Wallpaper Engine,431960.0,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",N/A,Unknown
Summary,,,,N/A
