Name,AppID,Category,Metacritic,Year
Age of Empires II: Definitive Edition,813780.0,Strategy,84,2019.0
Age of Empires III: Definitive Edition,933110.0,"Free To Play, Strategy",75,2020.0
Among Us,945360.0,Casual,85,Unknown
Assassin's Creed Unity,289650.0,"Action, Adventure",N/A,2014.0
Baldur's Gate 3,1086940.0,"Adventure, RPG, Strategy",96,2023.0
Black Myth: Wukong,2358720.0,"Aksiyon, Macera, RYO",N/A,Unknown
Counter-Strike 2,730.0,"Action, Free To Play",N/A,Unknown
Cyberpunk 2077,1091500.0,RPG,86,2020.0
DOOM Eternal,782330.0,Action,88,2020.0
Death's Door,894020.0,"Action, Adventure, Indie, RPG",85,Unknown
Dishonored 2,403640.0,Action,86,2016.0
Disney Epic Mickey: Rebrushed,1522160.0,"Action, Adventure",75,2024.0
Dragon's Dogma: Dark Arisen,367500.0,"Action, Adventure, RPG",81,2016.0
Enshrouded,1203620.0,"Action, Adventure, RPG, Early Access",N/A,2024.0
Evil West,1065310.0,"Action, Adventure, RPG",N/A,2022.0
Fallout 4,377160.0,RPG,84,2015.0
Far Cry Primal,371660.0,"Action, Adventure",74,2016.0
For Honor,304390.0,Action,76,2024.0
Ghost Recon Breakpoint,2231380.0,"Action, Adventure",N/A,2023.0
Ghostwire: Tokyo,1475810.0,Action,77,2022.0
Granblue Fantasy: Relink,881020.0,"Action, Adventure, RPG",N/A,2024.0
Half-Life 2,220.0,Action,96,2004.0
Half-Life 2: Deathmatch,320.0,Action,N/A,Unknown
Halo Infinite,1240440.0,"Action, Free To Play",N/A,2021.0
Hollow Knight,367520.0,"Action, Adventure, Indie",87,2017.0
Human Fall Flat,477160.0,"Adventure, Casual, Indie, Simulation",70,Unknown
Just Cause 3,225540.0,"Action, Adventure",74,2015.0
Mass Effect™ Legendary Edition,1328670.0,"Action, RPG",86,Unknown
Metro Exodus,412020.0,Action,85,2020.0
Metro Exodus Enhanced Edition,1449560.0,Action,85,2020.0
PAYDAY 3,1272080.0,"Action, Adventure, RPG",N/A,2023.0
Palworld,1623730.0,"Action, Adventure, Indie, RPG, Early Access",N/A,2024.0
Portal,400.0,Action,90,2007.0
Rayman Legends,242550.0,"Action, Adventure",89,2013.0
Ready or Not,1144200.0,"Action, Adventure, Indie",N/A,Unknown
Remnant II,1282100.0,"Action, Adventure, RPG",N/A,2023.0
RoboCop: Rogue City,1681430.0,"Action, Adventure",76,2023.0
STAR WARS Jedi: Fallen Order™ ,1172380.0,"Action, Adventure",81,2019.0
Shadow of the Tomb Raider,750920.0,"Action, Adventure",77,2018.0
Soulmask,2646460.0,"Adventure, Indie, Massively Multiplayer, RPG, Simulation, Early Access",N/A,2024.0
TUNIC,553420.0,"Action, Adventure, RPG",85,2022.0
The Elder Scrolls V: Skyrim Special Edition,489830.0,RPG,74,2016.0
The Elder Scrolls V: Skyrim VR,611670.0,RPG,81,2018.0
The Witcher 2: Assassins of Kings Enhanced Edition,20920.0,RPG,88,2012.0
The Witcher 3: Wild Hunt,292030.0,RPG,93,2015.0
The Witcher: Enhanced Edition,20900.0,"Action, RPG",86,2008.0
Witchfire,3156770.0,"Action, Early Access",N/A,2024.0
Wolfenstein II: The New Colossus,612880.0,Action,86,2017.0
Summary,,,,N/A
